"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Rolando Blackman","1982","1994","G","6-6","190","February 26 1959","Kansas State"
"Alex Blackwell","1993","1993","F","6-6","250","June 27 1970","Monmouth University"
"Cory Blackwell","1985","1985","F","6-6","210","March 27 1963","Wisconsin"
"James Blackwell","1995","1995","G","6-0","190","February 25 1968","Dartmouth College"
"Nate Blackwell","1988","1988","G","6-4","170","February 15 1965","Temple"
"DeJuan Blair","2010","2016","F-C","6-7","270","April 22 1989","Pitt"
"Steve Blake","2004","2016","G","6-3","172","February 26 1980","Maryland"
"Antonio Blakeney","2018","2019","G","6-4","192","October 4 1996","LSU"
"Will Blalock","2007","2007","G","6-0","205","September 8 1983","Iowa State"
"George Blaney","1962","1962","G","6-1","175","November 12 1939","Holy Cross"
"Lance Blanks","1991","1993","G","6-4","190","September 9 1966","Virginia Texas"
"Ricky Blanton","1993","1993","F","6-7","215","April 21 1966","LSU"
"Andray Blatche","2006","2014","F","6-11","235","August 22 1986",""
"Mookie Blaylock","1990","2002","G","6-0","180","March 20 1967","Midland College Oklahoma"
"Eric Bledsoe","2011","2022","G","6-1","214","December 9 1989","Kentucky"
"Keljin Blevins","2021","2022","F","6-4","200","November 24 1995","Southern Miss Montana State"
"Leon Blevins","1951","1951","G","6-2","160","June 25 1926","Arizona"
"John Block","1967","1976","F-C","6-9","207","April 16 1944","USC"
"Mike Bloom","1948","1949","F-C","6-6","190","January 14 1915","Temple"
"Jaron Blossomgame","2019","2019","F","6-8","220","September 16 1993","Clemson"
"Corie Blount","1994","2004","F","6-9","240","January 4 1969","Cincinnati"
"Mark Blount","2001","2009","C","7-0","230","November 30 1975","Pitt"
"Vander Blue","2014","2018","G","6-4","200","July 17 1992","Marquette"
"Ray Blume","1982","1982","G","6-4","185","September 23 1958","Oregon State"
"Nelson Bobb","1950","1953","G","6-0","170","February 25 1924","Temple"
"Tony Bobbitt","2005","2005","G","6-4","190","October 22 1979","Cincinnati"
"Bucky Bockhorn","1959","1965","G","6-4","200","July 8 1933","Dayton"
"Tom Boerwinkle","1969","1978","C","7-0","265","August 23 1945","Tennessee"
"Keith Bogans","2004","2014","G-F","6-5","215","May 12 1980","Kentucky"
"Bogdan Bogdanovi?","2018","2022","G","6-6","220","August 18 1992",""
"Bojan Bogdanovi?","2015","2022","G-F","6-7","226","April 18 1989",""
"Muggsy Bogues","1988","2001","G","5-3","136","January 9 1965","Wake Forest"
"Andrew Bogut","2006","2019","C","7-0","260","November 28 1984","Utah"
"Etdrick Bohannon","1998","2001","F","6-9","220","May 29 1973","Arizona Tennessee Auburn University at Montgomery"
"Bol Bol","2020","2022","F-C","7-2","220","November 16 1999","Oregon"
"Manute Bol","1986","1995","C","7-7","200","October 16 1962","University of Bridgeport"
"Jonah Bolden","2019","2020","F","6-8","220","January 2 1996","UCLA"
"Marques Bolden","2020","2021","C","6-10","249","April 17 1998","Duke"
"Bill Bolger","1954","1954","F","6-5","205","August 21 1931","Georgetown"
"Leandro Bolmaro","2022","2022","F","6-6","200","September 11 2000",""
"Joel Bolomboy","2017","2018","F","6-9","235","January 28 1994","Weber State"
"Doug Bolstorff","1958","1958","G","6-4","195","October 29 1931","Minnesota"
"George Bon Salle","1962","1962","F","6-8","220","July 1 1935","Illinois"
"Phil Bond","1978","1978","G","6-2","175","July 27 1954","Louisville"
"Walter Bond","1993","1995","G","6-5","200","February 1 1969","Minnesota"
"Jordan Bone","2020","2021","G","6-2","180","November 5 1997","Tennessee"
"Dexter Boney","1997","1997","G","6-4","185","April 27 1970","UNLV"
"Isaac Bonga","2019","2022","G","6-8","180","November 8 1999",""
"Ron Bonham","1965","1968","F","6-5","192","May 31 1942","Cincinnati"
"Anthony Bonner","1991","1996","F","6-8","215","June 8 1968","Saint Louis"
"Matt Bonner","2005","2016","F","6-10","235","April 5 1980","Florida"
"Butch Booker","1970","1970","C","6-10","230","July 20 1945","Cheyney (PA)"
"Devin Booker","2016","2022","G","6-5","206","October 30 1996","Kentucky"
"Melvin Booker","1996","1997","G","6-1","185","August 20 1972","Missouri"
"Trevor Booker","2011","2018","F","6-8","228","November 25 1987","Clemson"
"Josh Boone","2007","2010","F-C","6-10","237","November 21 1984","UConn"
"Ron Boone","1969","1981","G-F","6-2","200","September 6 1946","Idaho State University"
"Calvin Booth","2000","2009","C","6-11","230","May 7 1976","Penn State"
"Keith Booth","1998","1999","F","6-6","226","October 9 1974","Maryland"
"Bob Boozer","1961","1971","F","6-8","215","April 26 1937","Kansas State"
"Carlos Boozer","2003","2015","F-C","6-9","258","November 20 1981","Duke"
"Curtis Borchardt","2004","2005","C","7-0","240","September 13 1980","Stanford"
"Jake Bornheimer","1949","1950","F-C","6-5","200","June 29 1927","Muhlenberg College"
"Lazaro Borrell","2000","2000","F","6-8","220","September 20 1972",""
"Ike Borsavage","1951","1951","C-F","6-8","220","July 25 1924","Temple"
"Vince Boryla","1950","1954","F","6-5","210","March 11 1927","Denver"
"Chris Bosh*","2004","2016","F-C","6-11","235","March 24 1984","Georgia Tech"
"Jim Bostic","1978","1978","F","6-7","225","January 28 1953","New Mexico State"
"Brandon Boston Jr.","2022","2022","G-F","6-7","185","November 28 2001","Kentucky"
"Lawrence Boston","1980","1980","F","6-8","225","May 18 1956","Vincennes University Maryland"
"Tom Boswell","1976","1984","F-C","6-9","220","October 2 1953","South Carolina State South Carolina"
"Chris Boucher","2018","2022","F","6-9","200","January 11 1993","Oregon"
"James Bouknight","2022","2022","G","6-5","190","September 18 2000","UConn"
"Ruben Boumtje-Boumtje","2002","2004","C","7-0","257","May 20 1978","Georgetown"
"Don Boven","1950","1953","F-G","6-4","210","March 6 1925","Western Michigan"
"Cal Bowdler","2000","2002","F","6-10","245","March 31 1977","Old Dominion"
"Brian Bowen","2020","2021","F","6-6","190","October 2 1998",""
"Bruce Bowen","1997","2009","F","6-7","185","June 14 1971","Cal State Fullerton"
"Ryan Bowen","2000","2010","F","6-7","215","November 20 1975","Iowa"
"Tommie Bowens","1968","1970","F-C","6-8","220","July 7 1940","Grambling State University"
"Anthony Bowie","1989","1998","G-F","6-6","190","November 9 1963","Oklahoma"
"Sam Bowie","1985","1995","C-F","7-1","235","March 17 1961","Kentucky"
"Orbie Bowling","1968","1968","C","6-10","215","March 21 1939","Tennessee"
"Ira Bowman","2000","2002","G","6-5","195","June 11 1973","Providence Penn"
"Ky Bowman","2020","2020","G","6-1","187","June 16 1997","Boston College"
"Nate Bowman","1967","1972","C","6-10","230","March 19 1943","Wichita State"
"Donnie Boyce","1996","1997","G","6-5","196","September 2 1973","Colorado"
"Dennis Boyd","1979","1979","G","6-1","175","May 21 1954","Detroit Mercy"
"Freddie Boyd","1973","1978","G","6-2","180","June 13 1950","Oregon State"
"Ken Boyd","1975","1975","F","6-5","195","March 25 1952","Boston University"
"Earl Boykins","1999","2012","G","5-5","135","June 2 1976","Eastern Michigan"
"Harry Boykoff","1950","1951","C","6-10","225","July 24 1922","St. John's"
"Winford Boynes","1979","1981","G-F","6-6","185","May 17 1957","San Francisco"
"Cedric Bozeman","2007","2007","G","6-6","207","March 7 1983","UCLA"
"Steve Bracey","1973","1975","G","6-1","175","August 1 1950","Tulsa"
"Craig Brackins","2011","2012","F","6-10","230","October 9 1987","Iowa State"
"Gary Bradds","1965","1971","F","6-8","210","July 26 1942","Ohio State"
"Alex Bradley","1982","1982","F","6-6","215","October 30 1959","Villanova"
"Alonzo Bradley","1978","1980","F","6-6","190","October 16 1953","Texas Southern"
"Avery Bradley","2011","2022","G","6-3","180","November 26 1990","Texas"
"Bill Bradley","1968","1968","G","5-11","165","June 16 1941",""
"Bill Bradley*","1968","1977","F-G","6-5","205","July 28 1943","Princeton"
"Charles Bradley","1982","1984","G","6-5","215","May 16 1959","Wyoming"
"Dudley Bradley","1980","1989","G-F","6-6","195","March 19 1957","UNC"
"Jim Bradley","1974","1976","F","6-8","215","March 16 1952","Northern Illinois"
"Joe Bradley","1950","1950","G","6-3","175","September 24 1928","Oklahoma State"
"Michael Bradley","2002","2006","F-C","6-10","245","April 18 1979","Kentucky Villanova"
"Shawn Bradley","1994","2005","C","7-6","235","March 22 1972","BYU"
"Tony Bradley","2018","2022","F-C","6-10","248","January 8 1998","UNC"
"Mark Bradtke","1997","1997","C-F","6-10","265","September 27 1968",""
"Marques Bragg","1996","1996","F","6-8","230","March 24 1970","Providence"
"Torraye Braggs","2004","2005","F","6-8","245","May 15 1976","Xavier"
"A.J. Bramlett","2000","2000","C","6-10","227","January 10 1977","Arizona"
"Adrian Branch","1987","1990","F-G","6-7","185","November 17 1963","Maryland"
"Elton Brand","2000","2016","F-C","6-8","275","March 11 1979","Duke"
"Terrell Brandon","1992","2002","G","5-11","180","May 20 1970","Oregon"
"Bob Brannum","1950","1955","F-C","6-5","215","May 28 1926","Michigan State"
"Brad Branson","1982","1983","C-F","6-10","220","September 24 1958","SMU"
"Jesse Branson","1966","1968","F","6-7","195","January 7 1942","Elon University"
"Jarrell Brantley","2020","2021","F","6-5","250","June 7 1996","College of Charleston"
"Jim Brasco","1953","1953","G","6-1","170","February 3 1931","NYU"
"Mike Bratz","1978","1986","G","6-2","185","October 17 1955","Stanford"
"Carl Braun*","1948","1962","G-F","6-5","180","September 25 1927","Colgate"
"Ignas Brazdeikis","2020","2022","F","6-6","221","January 8 1999","Michigan"
"Tim Breaux","1995","1998","F","6-7","215","September 19 1970","Wyoming"
"J.R. Bremer","2003","2004","G","6-2","185","September 19 1980","St. Bonaventure"
"Pete Brennan","1959","1959","F","6-6","205","September 23 1936","UNC"
"Tom Brennan","1955","1955","F","6-3","195","August 6 1930","Villanova"
"Randy Breuer","1984","1994","C","7-3","230","October 11 1960","Minnesota"
"Corey Brewer","2008","2020","F-G","6-9","186","March 5 1986","Florida"
"Jamison Brewer","2002","2005","G","6-4","184","November 19 1980","Auburn"
"Jim Brewer","1974","1982","F-C","6-9","210","December 3 1951","Minnesota"
"Ron Brewer","1979","1986","G","6-4","180","July 16 1955","Arkansas"
"Ronnie Brewer","2007","2014","G-F","6-7","220","March 20 1985","Arkansas"
"Primož Brezec","2002","2010","C","7-2","252","October 2 1979",""
"Frankie Brian","1950","1956","G","6-1","180","May 1 1923","LSU"
"Frank Brickowski","1985","1997","F-C","6-9","240","August 14 1959","Penn State"
"Junior Bridgeman","1976","1987","F-G","6-5","210","September 17 1953","Louisville"
"Bill Bridges","1963","1975","F-C","6-6","228","April 4 1939","Kansas"
"Mikal Bridges","2019","2022","G","6-6","209","August 30 1996","Villanova"
"Miles Bridges","2019","2022","G-F","6-6","225","March 21 1998","Michigan State"
"Al Brightman","1947","1947","F","6-2","195","September 22 1923","University of Charleston"
"Amida Brimah","2021","2021","C","6-10","230","February 11 1994","UConn"
"Aud Brindley","1947","1947","F","6-4","175","December 31 1923","Dartmouth College"
"Isaiah Briscoe","2019","2019","G","6-3","215","April 13 1996","Kentucky"
"John Brisker","1970","1975","F-G","6-5","210","June 15 1947","Toledo"
"Oshae Brissett","2020","2022","F","6-7","210","June 20 1998","Syracuse"
"Allan Bristow","1974","1983","F-G","6-7","210","August 23 1951","Virginia Tech"
"Tyrone Britt","1968","1968","G","6-4","190","April 18 1944","Johnson C. Smith University"
"Wayman Britt","1978","1978","G","6-2","185","August 31 1952","Michigan"
"Mike Brittain","1986","1987","C","7-0","235","June 21 1963","South Carolina"
"Dave Britton","1981","1981","G","6-4","180","August 29 1958","Texas A&M"
"Jon Brockman","2010","2012","F","6-7","255","March 20 1987","Washington"
"Ryan Broekhoff","2019","2020","F","6-6","215","August 23 1990","Valparaiso"
"Jim Brogan","1982","1983","G","6-4","185","February 24 1958","West Virginia Wesleyan College"
"Malcolm Brogdon","2017","2022","G","6-5","229","December 11 1992","Virginia"
"Gary Brokaw","1975","1978","G","6-4","178","January 11 1954","Notre Dame"
"Price Brookfield","1949","1950","F-G","6-4","185","May 11 1920","West Texas A&M University"
"Clarence Brookins","1971","1971","F","6-4","190","","Temple"
"Aaron Brooks","2008","2018","G","6-0","161","January 14 1985","Oregon"
"Armoni Brooks","2021","2022","G","6-3","195","June 5 1998","Houston"
"Dillon Brooks","2018","2022","F-G","6-7","225","January 22 1996","Oregon"
"Kevin Brooks","1992","1994","F","6-6","200","October 12 1969","Louisiana"
"MarShon Brooks","2012","2019","G-F","6-5","200","January 26 1989","Providence"
"Michael Brooks","1981","1988","F","6-7","220","August 17 1958","La Salle"
"Scott Brooks","1989","1998","G","5-11","165","July 31 1965","TCU University of California Irvine"
"Andre Brown","2007","2009","F","6-9","245","May 12 1981","DePaul"
"Anthony Brown","2016","2018","F-G","6-7","210","October 10 1992","Stanford"
"Bob Brown","1949","1950","F","6-4","205","November 12 1923","Miami University"
"Bobby Brown","2009","2018","G","6-2","175","September 24 1984","Cal State Fullerton"
"Bruce Brown","2019","2022","G","6-4","202","August 15 1996","Miami (FL)"
"Charlie Brown Jr.","2020","2022","G","6-6","199","February 2 1997","Saint Joseph's"
"Chaundee Brown Jr.","2022","2022","G-F","6-5","215","December 4 1998","Wake Forest Michigan"
"Chucky Brown","1990","2002","F","6-7","214","February 29 1968","NC State"
"Damone Brown","2002","2005","F","6-9","200","June 28 1979","Syracuse"
"Darrel Brown","1949","1949","F","6-2","175","March 14 1923","Humboldt State University"
"Dee Brown","1991","2002","G","6-1","160","November 29 1968","Jacksonville University"
"Dee Brown","2007","2009","G","6-0","185","August 17 1984","Illinois"
"Derrick Brown","2010","2012","F","6-7","225","September 8 1987","Xavier"
"Devin Brown","2003","2010","G","6-5","220","December 30 1978","Texas-San Antonio"
"Ernest Brown","2002","2002","C","7-0","244","May 17 1979","Indian Hills Community College"
"Fred Brown","1972","1984","G","6-3","182","August 7 1948","Iowa"
"George Brown","1958","1958","F","6-6","190","October 30 1935","Wayne State University"
"Gerald Brown","1999","1999","G","6-4","210","July 28 1975","Pepperdine"
"Greg Brown III","2022","2022","F","6-9","205","September 1 2001","Texas"
"Harold Brown","1947","1947","G","6-0","155","October 2 1923","University of Evansville"
"Jabari Brown","2015","2015","G","6-4","215","December 18 1992","Oregon Missouri"
"Jaylen Brown","2017","2022","F-G","6-6","223","October 24 1996","California"
"John Brown","1974","1980","F","6-7","220","December 14 1951","Missouri"
"Kedrick Brown","2002","2005","G","6-7","222","March 18 1981","Okaloosa-Walton Community College"
"Kwame Brown","2002","2013","F","6-11","270","March 10 1982",""
"Larry Brown*","1968","1972","G","5-9","160","September 14 1940","UNC"
"Leon Brown","1947","1947","F","6-3","190","October 12 1919","Wyoming"
"Lewis Brown","1981","1981","C","6-11","225","February 19 1955","UNLV"
"Lorenzo Brown","2014","2019","G","6-5","189","August 26 1990","NC State"
"Marcus Brown","1997","2000","G","6-3","185","April 3 1974","Murray State"
"Markel Brown","2015","2018","G","6-3","190","January 29 1992","Oklahoma State"
"Mike Brown","1987","1997","C-F","6-9","257","July 19 1963","George Washington"
"Moses Brown","2020","2022","C","7-2","245","October 13 1999","UCLA"
"Myron Brown","1992","1992","G","6-3","180","November 3 1969","Slippery Rock University of Pennsylvania"
"P.J. Brown","1994","2008","F-C","6-11","225","October 14 1969","Louisiana Tech"
"Randy Brown","1992","2003","G","6-2","190","May 22 1968","Houston New Mexico State"
"Raymond Brown","1990","1990","F","6-8","220","July 5 1965","Mississippi State Idaho"
"Rickey Brown","1981","1985","C-F","6-10","215","August 20 1958","Mississippi State"
"Roger Brown*","1968","1975","F-G","6-5","205","May 22 1942","Dayton"
"Roger Brown","1973","1980","C","6-11","225","February 23 1950","Kansas"
"Shannon Brown","2007","2015","G","6-4","205","November 29 1985","Michigan State"
"Stan Brown","1948","1952","F","6-3","200","June 27 1929",""
"Sterling Brown","2018","2022","G","6-5","219","February 10 1995","SMU"
"Tierre Brown","2002","2005","G","6-2","189","June 3 1979","McNeese State University"
"Tony Brown","1985","1992","F-G","6-6","185","July 29 1960","Arkansas"
"Troy Brown Jr.","2019","2022","G-F","6-6","215","July 28 1999","Oregon"
"Jim Browne","1949","1950","C","6-10","235","January 1 1930",""
"Stanley Brundy","1990","1990","F","6-6","210","November 13 1967","DePaul"
"Brian Brunkhorst","1969","1969","F","6-6","208","June 12 1945","Marquette"
"George Bruns","1973","1973","G","6-0","160","August 30 1946","Manhattan College"
"Jalen Brunson","2019","2022","G","6-1","190","August 31 1996","Villanova"
"Rick Brunson","1998","2006","G","6-4","190","June 14 1972","Temple"
